,carparkNo,modelParts
0,A0007,0
1,A0021,0
2,A0024,0
3,A0046,0
4,A10,0
5,A100,0
6,A11,0
7,A12,0
8,A13,0
9,A15,0
10,A2,0
11,A20,0
12,A21,0
13,A24,0
14,A25,0
15,A27,0
16,A28,0
17,A29,0
18,A30,0
19,A31,0
20,A33,0
21,A34,0
22,A35,0
23,A36,0
24,A37,0
25,A38,0
26,A39,0
27,A4,0
28,A40,0
29,A41,0
30,A42,0
31,A43,0
32,A44,0
33,A45,0
34,A47,0
35,A48,0
36,A49,0
37,A50,0
38,A51,0
39,A52,0
40,A53,0
41,A54,0
42,A59,0
43,A60,0
44,A63,0
45,A64,0
46,A65,0
47,A66,0
48,A67,0
49,A68,0
50,A69,0
51,A7,0
52,A70,0
53,A71,0
54,A72,0
55,A73,0
56,A74,0
57,A75,0
58,A76,0
59,A77,0
60,A78,0
61,A8,0
62,A81,0
63,A82,0
64,A85,1
65,A87,1
66,A88,1
67,A9,1
68,A94,1
69,A98,1
70,ACB,1
71,ACM,1
72,AH1,1
73,AM16,1
74,AM18,1
75,AM19,1
76,AM20,1
77,AM22,1
78,AM32,1
79,AM43,1
80,AM46,1
81,AM51,1
82,AM64,1
83,AM79,1
84,AM80,1
85,AM81,1
86,AM96,1
87,AR1L,1
88,AR1M,1
89,AR2L,1
90,AR2M,1
91,AR5M,1
92,AR7L,1
93,AR7M,1
94,AR9,1
95,AV1,1
96,B0063,1
97,B0087,1
98,B0088,1
99,B10,1
100,B10M,1
101,B11,1
102,B16,1
103,B17,1
104,B19,1
105,B20,1
106,B21,1
107,B23M,1
108,B24,1
109,B25,1
110,B26,1
111,B27,1
112,B28,1
113,B30,1
114,B31,1
115,B32,1
116,B33,1
117,B34,1
118,B35,1
119,B40,1
120,B41,1
121,B42,1
122,B43,1
123,B44,1
124,B44B,1
125,B45,1
126,B46,1
127,B47,2
128,B48,2
129,B49,2
130,B50,2
131,B51,2
132,B52,2
133,B53,2
134,B54,2
135,B57,2
136,B59,2
